filename,path,filename_timestamp,first_canonical_date,entry_count,git_status,in_rebuild_index,thread_group,supersession_note
"VM_DELTA_AP1000_NUCLEAR_CITADEL_20260209-1530.md","02_VM_DELTAS/2026-02/VM_DELTA_AP1000_NUCLEAR_CITADEL_20260209-1530.md","20260209-1530","2026-02-09","10","staged","yes","standalone",""
"VM_DELTA_BESS_SOLID_STATE_REVIEW_20260207-2345.md","02_VM_DELTAS/2026-02/VM_DELTA_BESS_SOLID_STATE_REVIEW_20260207-2345.md","20260207-2345","2026-02-07","4","committed","yes","standalone",""
"VM_DELTA_CO2_CAPTURE_INTEGRATION_20260209-1045.md","02_VM_DELTAS/2026-02/VM_DELTA_CO2_CAPTURE_INTEGRATION_20260209-1045.md","20260209-1045","2026-02-09","9","staged","yes","standalone",""
"VM_DELTA_FAT_SAT_FRAMEWORK_20260209-1415.md","02_VM_DELTAS/2026-02/VM_DELTA_FAT_SAT_FRAMEWORK_20260209-1415.md","20260209-1415","2026-02-09","7","staged","yes","standalone",""
"VM_DELTA_Financing_Readiness_PnL_20260209-2145.md","02_VM_DELTAS/2026-02/VM_DELTA_Financing_Readiness_PnL_20260209-2145.md","20260209-2145","2026-02-09","8","staged","yes","standalone",""
"VM_DELTA_H2_VENDOR_INPUT_SPECS_20260207-0001.md","02_VM_DELTAS/2026-02/VM_DELTA_H2_VENDOR_INPUT_SPECS_20260207-0001.md","20260207-0001","2026-02-07","1","committed","yes","standalone",""
"VM_DELTA_HARNESS_RLM_TRUE_RLM_20260124-0410.md","02_VM_DELTAS/2026-02/VM_DELTA_HARNESS_RLM_TRUE_RLM_20260124-0410.md","20260124-0410","2026-01-22","13","staged","yes","standalone",""
"VM_DELTA_HCV-VM-EXTRACT-002_20260207-2350.md","02_VM_DELTAS/2026-02/VM_DELTA_HCV-VM-EXTRACT-002_20260207-2350.md","20260207-2350","2026-02-07","2","committed","yes","HCV-VM-EXTRACT-002",""
"VM_DELTA_HCV-VM-EXTRACT-002_20260208-1035.md","02_VM_DELTAS/2026-02/VM_DELTA_HCV-VM-EXTRACT-002_20260208-1035.md","20260208-1035","2026-02-08","9","committed","yes","HCV-VM-EXTRACT-002",""
"VM_DELTA_HCV-VM-EXTRACT-002_20260208-1148.md","02_VM_DELTAS/2026-02/VM_DELTA_HCV-VM-EXTRACT-002_20260208-1148.md","20260208-1148","2026-02-08","4","committed","yes","HCV-VM-EXTRACT-002",""
"VM_DELTA_HCV-VM-EXTRACT-002_20260209-0120.md","02_VM_DELTAS/2026-02/VM_DELTA_HCV-VM-EXTRACT-002_20260209-0120.md","20260209-0120","2026-02-08","10","staged","yes","HCV-VM-EXTRACT-002",""
"VM_DELTA_HCV-VM-EXTRACT-002_20260209-0715.md","02_VM_DELTAS/2026-02/VM_DELTA_HCV-VM-EXTRACT-002_20260209-0715.md","20260209-0715","2026-02-09","3","staged","yes","HCV-VM-EXTRACT-002",""
"VM_DELTA_HCV-VM-EXTRACT-002_20260209-1420.md","02_VM_DELTAS/2026-02/VM_DELTA_HCV-VM-EXTRACT-002_20260209-1420.md","20260209-1420","2026-02-09","6","staged","yes","HCV-VM-EXTRACT-002",""
"VM_DELTA_HCV-VM-EXTRACT-002_20260209-1455-B.md","02_VM_DELTAS/2026-02/VM_DELTA_HCV-VM-EXTRACT-002_20260209-1455-B.md","20260209-1455","2026-02-09","7","staged","yes","HCV-VM-EXTRACT-002",""
"VM_DELTA_HCV-VM-EXTRACT-002_20260209-1455.md","02_VM_DELTAS/2026-02/VM_DELTA_HCV-VM-EXTRACT-002_20260209-1455.md","20260209-1455","2026-02-09","5","staged","yes","HCV-VM-EXTRACT-002",""
"VM_DELTA_HCV-VM-EXTRACT-002_20260209-1535.md","02_VM_DELTAS/2026-02/VM_DELTA_HCV-VM-EXTRACT-002_20260209-1535.md","20260209-1535","2026-02-09","7","staged","yes","HCV-VM-EXTRACT-002",""
